miki_comfort_16-03,yuval_comfort_20-03-23,yuval_cool_20-03-23,yuval_cold_20-03-23,comfort_yuval_12_01_21C,miki_coldest_17.5c,miki_comfort_20c,cold_yuval_12_01_18C,miki_colder_1m,colder_yuval_12_01_16C
08_40_17_7,2023-03-20_18-22-24_7,2023-03-20_18-43-02_7,2023-03-20_18-56-18_7,,,,,,
08_40_17_8,2023-03-20_18-22-24_8,2023-03-20_18-43-02_8,2023-03-20_18-56-18_8,,,,,,
08_40_18_0,2023-03-20_18-22-25_0,2023-03-20_18-43-03_0,2023-03-20_18-56-19_0,,,,,,
08_40_18_1,2023-03-20_18-22-25_1,2023-03-20_18-43-03_1,2023-03-20_18-56-19_1,,,,,,
08_40_18_2,2023-03-20_18-22-25_2,2023-03-20_18-43-03_2,2023-03-20_18-56-19_2,,,,,,
08_40_18_3,2023-03-20_18-22-25_3,2023-03-20_18-43-03_3,2023-03-20_18-56-19_3,,,,,,
08_40_18_4,2023-03-20_18-22-25_4,2023-03-20_18-43-03_4,2023-03-20_18-56-19_4,,,,,,
08_40_18_5,2023-03-20_18-22-25_5,2023-03-20_18-43-03_5,2023-03-20_18-56-19_5,,,,,,
08_40_18_6,2023-03-20_18-22-25_6,2023-03-20_18-43-03_6,2023-03-20_18-56-19_6,,,,,,
08_40_18_7,2023-03-20_18-22-25_7,2023-03-20_18-43-03_7,2023-03-20_18-56-19_7,,,,,,
08_40_18_8,2023-03-20_18-22-25_8,2023-03-20_18-43-03_8,2023-03-20_18-56-19_8,,,,,,
08_40_19_0,2023-03-20_18-22-26_0,2023-03-20_18-43-04_0,2023-03-20_18-56-20_0,,,,,,
08_40_19_1,2023-03-20_18-22-26_1,2023-03-20_18-43-04_1,2023-03-20_18-56-20_1,,,,,,
08_40_19_2,2023-03-20_18-22-26_2,2023-03-20_18-43-04_2,2023-03-20_18-56-20_2,,,,,,
08_40_19_3,2023-03-20_18-22-26_3,2023-03-20_18-43-04_3,2023-03-20_18-56-20_3,,,,,,
08_40_19_4,2023-03-20_18-22-26_4,2023-03-20_18-43-04_4,2023-03-20_18-56-20_4,,,,,,
08_40_19_5,2023-03-20_18-22-26_5,2023-03-20_18-43-04_5,2023-03-20_18-56-20_5,,,,,,
08_40_19_6,2023-03-20_18-22-26_6,2023-03-20_18-43-04_6,2023-03-20_18-56-20_6,,,,,,
08_40_19_7,2023-03-20_18-22-26_7,2023-03-20_18-43-04_7,2023-03-20_18-56-20_7,,,,,,
08_40_19_8,2023-03-20_18-22-26_8,2023-03-20_18-43-04_8,2023-03-20_18-56-20_8,,,,,,
08_40_20_0,2023-03-20_18-22-27_0,2023-03-20_18-43-05_0,2023-03-20_18-56-21_0,,,,,,
08_40_20_1,2023-03-20_18-22-27_1,2023-03-20_18-43-05_1,2023-03-20_18-56-21_1,,,,,,
08_40_20_2,2023-03-20_18-22-27_2,2023-03-20_18-43-05_2,2023-03-20_18-56-21_2,,,,,,
08_40_20_3,2023-03-20_18-22-27_3,2023-03-20_18-43-05_3,2023-03-20_18-56-21_3,,,,,,
08_40_20_4,2023-03-20_18-22-27_4,2023-03-20_18-43-05_4,2023-03-20_18-56-21_4,,,,,,
08_40_20_5,2023-03-20_18-22-27_5,2023-03-20_18-43-05_5,2023-03-20_18-56-21_5,,,,,,
08_40_20_6,2023-03-20_18-22-27_6,2023-03-20_18-43-05_6,2023-03-20_18-56-21_6,,,,,,
08_40_20_7,2023-03-20_18-22-27_7,2023-03-20_18-43-05_7,2023-03-20_18-56-21_7,,,,,,
08_40_20_8,2023-03-20_18-22-27_8,2023-03-20_18-43-05_8,2023-03-20_18-56-21_8,,,,,,
08_40_21_0,2023-03-20_18-22-28_0,2023-03-20_18-43-06_0,2023-03-20_18-56-22_0,,,,,,
08_40_21_1,2023-03-20_18-22-28_1,2023-03-20_18-43-06_1,2023-03-20_18-56-22_1,,,,,,
08_40_21_2,2023-03-20_18-22-28_2,2023-03-20_18-43-06_2,2023-03-20_18-56-22_2,,,,,,
08_40_21_3,2023-03-20_18-22-28_3,2023-03-20_18-43-06_3,2023-03-20_18-56-22_3,,,,,,
08_40_21_4,2023-03-20_18-22-28_4,2023-03-20_18-43-06_4,2023-03-20_18-56-22_4,,,,,,
08_40_21_5,2023-03-20_18-22-28_5,2023-03-20_18-43-06_5,2023-03-20_18-56-22_5,,,,,,
08_40_21_6,2023-03-20_18-22-28_6,2023-03-20_18-43-06_6,2023-03-20_18-56-22_6,,,,,,
08_40_21_7,2023-03-20_18-22-28_7,2023-03-20_18-43-06_7,2023-03-20_18-56-22_7,,,,,,
08_40_21_8,2023-03-20_18-22-28_8,2023-03-20_18-43-06_8,2023-03-20_18-56-22_8,,,,,,
08_40_22_0,2023-03-20_18-22-29_0,2023-03-20_18-43-07_0,2023-03-20_18-56-23_0,,,,,,
08_40_22_1,2023-03-20_18-22-29_1,2023-03-20_18-43-07_1,2023-03-20_18-56-23_1,,,,,,
08_40_22_2,2023-03-20_18-22-29_2,2023-03-20_18-43-07_2,2023-03-20_18-56-23_2,,,,,,
08_40_22_3,2023-03-20_18-22-29_3,2023-03-20_18-43-07_3,2023-03-20_18-56-23_3,,,,,,
08_40_22_4,2023-03-20_18-22-29_4,2023-03-20_18-43-07_4,2023-03-20_18-56-23_4,,,,,,
08_40_22_5,2023-03-20_18-22-29_5,2023-03-20_18-43-07_5,2023-03-20_18-56-23_5,,,,,,
08_40_22_6,2023-03-20_18-22-29_6,2023-03-20_18-43-07_6,2023-03-20_18-56-23_6,,,,,,
08_40_22_7,2023-03-20_18-22-29_7,2023-03-20_18-43-07_7,2023-03-20_18-56-23_7,,,,,,
08_40_22_8,2023-03-20_18-22-29_8,2023-03-20_18-43-07_8,2023-03-20_18-56-23_8,,,,,,
08_40_23_0,2023-03-20_18-22-30_0,2023-03-20_18-43-08_0,2023-03-20_18-56-24_0,,,,,,
08_40_23_1,2023-03-20_18-22-30_1,2023-03-20_18-43-08_1,2023-03-20_18-56-24_1,,,,,,
08_40_23_2,2023-03-20_18-22-30_2,2023-03-20_18-43-08_2,2023-03-20_18-56-24_2,,,,,,
08_40_23_3,2023-03-20_18-22-30_3,2023-03-20_18-43-08_3,2023-03-20_18-56-24_3,,,,,,
08_40_23_4,2023-03-20_18-22-30_4,2023-03-20_18-43-08_4,2023-03-20_18-56-24_4,,,,,,
08_40_23_5,2023-03-20_18-22-30_5,2023-03-20_18-43-08_5,2023-03-20_18-56-24_5,,,,,,
08_40_23_6,2023-03-20_18-22-30_6,2023-03-20_18-43-08_6,2023-03-20_18-56-24_6,,,,,,
08_40_23_7,2023-03-20_18-22-30_7,2023-03-20_18-43-08_7,2023-03-20_18-56-24_7,,,,,,
08_40_23_8,2023-03-20_18-22-30_8,2023-03-20_18-43-08_8,2023-03-20_18-56-24_8,,,,,,
08_40_24_0,2023-03-20_18-22-31_0,2023-03-20_18-43-09_0,2023-03-20_18-56-25_0,,,,,,
08_40_24_1,2023-03-20_18-22-31_1,2023-03-20_18-43-09_1,2023-03-20_18-56-25_1,,,,,,
08_40_24_2,2023-03-20_18-22-31_2,2023-03-20_18-43-09_2,2023-03-20_18-56-25_2,,,,,,
08_40_24_3,2023-03-20_18-22-31_3,2023-03-20_18-43-09_3,2023-03-20_18-56-25_3,,,,,,
08_40_24_4,2023-03-20_18-22-31_4,2023-03-20_18-43-09_4,2023-03-20_18-56-25_4,,,,,,
08_40_24_5,2023-03-20_18-22-31_5,2023-03-20_18-43-09_5,2023-03-20_18-56-25_5,,,,,,
08_40_24_6,2023-03-20_18-22-31_6,2023-03-20_18-43-09_6,2023-03-20_18-56-25_6,,,,,,
08_40_24_7,2023-03-20_18-22-31_7,2023-03-20_18-43-09_7,2023-03-20_18-56-25_7,,,,,,
08_40_24_8,2023-03-20_18-22-31_8,2023-03-20_18-43-09_8,2023-03-20_18-56-25_8,,,,,,
08_40_25_0,2023-03-20_18-22-32_0,2023-03-20_18-43-10_0,2023-03-20_18-56-26_0,,,,,,
08_40_25_1,2023-03-20_18-22-32_1,2023-03-20_18-43-10_1,2023-03-20_18-56-26_1,,,,,,
08_40_25_2,2023-03-20_18-22-32_2,2023-03-20_18-43-10_2,2023-03-20_18-56-26_2,,,,,,
08_40_25_3,2023-03-20_18-22-32_3,2023-03-20_18-43-10_3,,,,,,,
08_40_25_4,2023-03-20_18-22-32_4,2023-03-20_18-43-10_4,,,,,,,
08_40_25_5,2023-03-20_18-22-32_5,2023-03-20_18-43-10_5,,,,,,,
08_40_25_6,2023-03-20_18-22-32_6,2023-03-20_18-43-10_6,,,,,,,
08_40_25_7,2023-03-20_18-22-32_7,2023-03-20_18-43-10_7,,,,,,,
08_40_25_8,2023-03-20_18-22-32_8,2023-03-20_18-43-10_8,,,,,,,
08_40_26_0,2023-03-20_18-22-33_0,2023-03-20_18-43-11_0,,,,,,,
08_40_26_1,2023-03-20_18-22-33_1,2023-03-20_18-43-11_1,,,,,,,
08_40_26_2,2023-03-20_18-22-33_2,2023-03-20_18-43-11_2,,,,,,,
08_40_26_3,2023-03-20_18-22-33_3,2023-03-20_18-43-11_3,,,,,,,
08_40_26_4,2023-03-20_18-22-33_4,2023-03-20_18-43-11_4,,,,,,,
08_40_26_5,2023-03-20_18-22-33_5,2023-03-20_18-43-11_5,,,,,,,
08_40_26_6,2023-03-20_18-22-33_6,2023-03-20_18-43-11_6,,,,,,,
08_40_26_7,2023-03-20_18-22-33_7,2023-03-20_18-43-11_7,,,,,,,
08_40_26_8,2023-03-20_18-22-33_8,2023-03-20_18-43-11_8,,,,,,,
08_40_27_0,2023-03-20_18-22-34_0,2023-03-20_18-43-12_0,,,,,,,
08_40_27_1,2023-03-20_18-22-34_1,2023-03-20_18-43-12_1,,,,,,,
08_40_27_2,2023-03-20_18-22-34_2,2023-03-20_18-43-12_2,,,,,,,
08_40_27_3,2023-03-20_18-22-34_3,2023-03-20_18-43-12_3,,,,,,,
08_40_27_4,2023-03-20_18-22-34_4,2023-03-20_18-43-12_4,,,,,,,
08_40_27_5,2023-03-20_18-22-34_5,2023-03-20_18-43-12_5,,,,,,,
08_40_27_6,2023-03-20_18-22-34_6,2023-03-20_18-43-12_6,,,,,,,
08_40_27_7,2023-03-20_18-22-34_7,2023-03-20_18-43-12_7,,,,,,,
08_40_27_8,2023-03-20_18-22-34_8,2023-03-20_18-43-12_8,,,,,,,
08_40_28_0,2023-03-20_18-22-35_0,2023-03-20_18-43-13_0,,,,,,,
08_40_28_1,2023-03-20_18-22-35_1,2023-03-20_18-43-13_1,,,,,,,
,2023-03-20_18-22-35_2,2023-03-20_18-43-13_2,,,,,,,
,2023-03-20_18-22-35_3,2023-03-20_18-43-13_3,,,,,,,
,2023-03-20_18-22-35_4,2023-03-20_18-43-13_4,,,,,,,
,2023-03-20_18-22-35_5,2023-03-20_18-43-13_5,,,,,,,
,2023-03-20_18-22-35_6,2023-03-20_18-43-13_6,,,,,,,
,2023-03-20_18-22-35_7,2023-03-20_18-43-13_7,,,,,,,
,2023-03-20_18-22-35_8,2023-03-20_18-43-13_8,,,,,,,
,2023-03-20_18-22-36_0,2023-03-20_18-43-14_0,,,,,,,
,2023-03-20_18-22-36_1,2023-03-20_18-43-14_1,,,,,,,
,2023-03-20_18-22-36_2,2023-03-20_18-43-14_2,,,,,,,
,2023-03-20_18-22-36_3,2023-03-20_18-43-14_3,,,,,,,
,2023-03-20_18-22-36_4,2023-03-20_18-43-14_4,,,,,,,
,2023-03-20_18-22-36_5,2023-03-20_18-43-14_5,,,,,,,
,2023-03-20_18-22-36_6,2023-03-20_18-43-14_6,,,,,,,
,2023-03-20_18-22-36_7,2023-03-20_18-43-14_7,,,,,,,
,2023-03-20_18-22-36_8,2023-03-20_18-43-14_8,,,,,,,
,2023-03-20_18-22-37_0,2023-03-20_18-43-15_0,,,,,,,
,2023-03-20_18-22-37_1,2023-03-20_18-43-15_1,,,,,,,
,2023-03-20_18-22-37_2,2023-03-20_18-43-15_2,,,,,,,
,2023-03-20_18-22-37_3,2023-03-20_18-43-15_3,,,,,,,
,2023-03-20_18-22-37_4,2023-03-20_18-43-15_4,,,,,,,
,2023-03-20_18-22-37_5,2023-03-20_18-43-15_5,,,,,,,
,2023-03-20_18-22-37_6,2023-03-20_18-43-15_6,,,,,,,
,2023-03-20_18-22-37_7,2023-03-20_18-43-15_7,,,,,,,
,2023-03-20_18-22-37_8,2023-03-20_18-43-15_8,,,,,,,
,2023-03-20_18-22-38_0,2023-03-20_18-43-16_0,,,,,,,
,2023-03-20_18-22-38_1,2023-03-20_18-43-16_1,,,,,,,
,2023-03-20_18-22-38_2,2023-03-20_18-43-16_2,,,,,,,
,2023-03-20_18-22-38_3,2023-03-20_18-43-16_3,,,,,,,
,2023-03-20_18-22-38_4,2023-03-20_18-43-16_4,,,,,,,
,2023-03-20_18-22-38_5,2023-03-20_18-43-16_5,,,,,,,
,2023-03-20_18-22-38_6,2023-03-20_18-43-16_6,,,,,,,
,2023-03-20_18-22-38_7,2023-03-20_18-43-16_7,,,,,,,
,2023-03-20_18-22-38_8,2023-03-20_18-43-16_8,,,,,,,
,2023-03-20_18-22-39_0,2023-03-20_18-43-17_0,,,,,,,
,2023-03-20_18-22-39_1,2023-03-20_18-43-17_1,,,,,,,
,2023-03-20_18-22-39_2,2023-03-20_18-43-17_2,,,,,,,
,2023-03-20_18-22-39_3,2023-03-20_18-43-17_3,,,,,,,
,2023-03-20_18-22-39_4,2023-03-20_18-43-17_4,,,,,,,
,2023-03-20_18-22-39_5,2023-03-20_18-43-17_5,,,,,,,
,2023-03-20_18-22-39_6,2023-03-20_18-43-17_6,,,,,,,
,2023-03-20_18-22-39_7,2023-03-20_18-43-17_7,,,,,,,
,2023-03-20_18-22-39_8,2023-03-20_18-43-17_8,,,,,,,
,2023-03-20_18-22-40_0,,,,,,,,
,2023-03-20_18-22-40_1,,,,,,,,
,2023-03-20_18-22-40_2,,,,,,,,
,2023-03-20_18-22-40_3,,,,,,,,
,2023-03-20_18-22-40_4,,,,,,,,
,2023-03-20_18-22-40_5,,,,,,,,
,2023-03-20_18-22-40_6,,,,,,,,
,2023-03-20_18-22-40_7,,,,,,,,
